country,city,lat,lon,macro_region,meso_region,development_level,gdp_per_capita,gdp_volume,hdi,ECI,population,total_city,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
singapore,singapore,1.2831593,103.8530435,Asia,South-eastern Asia,Developing economies,96553,5.42E+11,0.935,1.86534,"NA",162,7,8,13,16,14,8,17,20,23,36
united states,san francisco,37.7749295,-122.4194155,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,870887,83,2,9,17,15,6,3,7,9,10,5
united states,homer,59.6425,-151.5483333,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,5697,6,1,1,3,1,NA,NA,NA,NA,NA,NA
brazil,sao paolo,-23.5505199,-46.6333094,Americas,South America,Developing economies,15662,3.26E+12,0.761,0.608252,12252023,128,2,5,16,21,27,10,8,13,14,12
united states,boston,42.3600825,-71.0588801,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,673184,54,1,2,4,6,8,5,5,6,6,11
united states,minnesota,44.9374831,-93.2009998,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",8,1,3,4,NA,NA,NA,NA,NA,NA,NA
united states,wexford,40.6266318,-80.0549768,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,"NA",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
united states,los angeles,34.0522342,-118.2436849,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,3884307,95,7,8,7,7,11,10,11,17,8,9
canada,toronto,43.653226,-79.3831843,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,2956024,129,2,6,16,17,20,12,14,12,13,17
united states,riverside,33.9806005,-117.3754942,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,324722,22,1,NA,2,1,3,5,4,4,2,NA
chile,santiago,-33.4488897,-70.6692655,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,5613962,46,1,3,4,3,5,5,7,6,6,6
united states,ventura,34.2804923,-119.2945199,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,109592,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
united states,tallahassee,30.4382559,-84.2807329,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,190894,16,1,1,2,2,1,2,4,1,1,1
india,chennai,13.0826802,80.2707184,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,7163000,66,2,7,7,12,4,3,6,6,7,12
united states,beverly hills,34.0736204,-118.4003563,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,34484,4,1,NA,NA,1,NA,NA,NA,2,NA,NA
china,beijing,39.9041999,116.4073963,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,21516000,167,3,9,9,18,28,18,17,18,27,20
dominican republic,santo domingo,18.4860575,-69.9312117,Americas,Caribbean,Developing economies,16452,1.73E+11,0.745,-0.363374,1029607,23,1,2,3,7,3,1,1,1,2,2
philippines,quezon city,14.6760413,121.0437003,Asia,South-eastern Asia,Developing economies,8340,8.77E+11,0.712,0.381087,2936116,33,5,2,1,4,3,1,7,2,6,2
saudi arabia,al khobar,26.2171906,50.1971381,Asia,Western Asia,Developing economies,53693,1.78E+12,0.857,0.747155,219679,8,1,2,1,NA,2,1,NA,NA,NA,1
united arab emirates,dubai,25.2048493,55.2707828,Asia,Western Asia,Developing economies,73356,6.96E+11,0.866,0.128674,1089000,120,3,9,5,12,10,8,10,22,17,24
south korea,seoul,37.555338,126.973312,Asia,Eastern Asia,Developing economies,38824,2.00E+12,0.906,1.77613,10197604,225,9,27,47,42,30,16,18,14,7,15
chile,vitacura,-33.3905211,-70.5724124,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,"NA",1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
peru,lima,-12.0463731,-77.042754,Americas,South America,Developing economies,13772,4.33E+11,0.759,-0.598962,8852000,28,1,1,1,2,1,1,7,5,4,5
chile,temuco,-38.7359018,-72.5903739,Americas,South America,Developing economies,24249,4.48E+11,0.847,0.0443139,221375,14,3,3,1,1,1,2,1,NA,NA,2
canada,lodz,45.4215296,-75.6971931,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,1007501,31,1,3,1,4,3,1,6,4,3,5
united states,huntsville,34.7303688,-86.5861037,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,193079,32,1,3,4,4,3,3,3,2,3,6
japan,tokyo,35.6761919,139.6503106,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,13839910,79,3,7,7,12,12,8,6,9,8,7
united states,san antonio,29.4241219,-98.4936282,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,1492510,30,1,3,2,1,2,5,3,4,3,6
united states,troy,42.6064095,-83.1497751,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,83813,7,1,NA,NA,NA,1,1,2,NA,1,1
india,mumbai,19.0759837,72.8776559,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,12478447,144,2,6,7,11,13,12,15,18,24,36
israel,tel aviv-yafo,32.0852999,34.7817676,Asia,Western Asia,Developed economies,38868,3.39E+11,0.906,1.3146,441379,31,NA,2,1,3,5,2,3,7,5,3
argentina,buenos aires,-34.6036844,-58.3815591,Americas,South America,Developing economies,20843,9.18E+11,0.83,0.232335,3054300,74,NA,4,5,9,7,9,15,9,10,6
united states,thousand oaks,34.1705609,-118.8375937,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,128888,17,NA,2,2,4,1,3,1,NA,1,3
united states,"durham, nc",35.9940329,-78.898619,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,263016,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
turkey,istanbul,41.0082376,28.9783589,Asia,Western Asia,Developing economies,27879,2.26E+12,0.807,0.175726,14025000,127,2,3,7,5,10,13,16,17,21,33
united states,st. louis,38.6270025,-90.1994042,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,311404,43,1,1,5,9,5,5,5,5,5,2
united states,longmont,40.1672068,-105.1019275,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,99398,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1
canada,vancouver,49.2827291,-123.1207375,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,676593,64,3,4,7,5,7,5,7,8,10,8
united states,tulsa,36.1539816,-95.992775,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,403090,10,NA,1,NA,1,NA,1,2,2,2,1
united states,seattle,47.6062095,-122.3320708,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,704352,70,1,3,11,12,10,6,6,7,7,7
canada,lethbridge,49.6955856,-112.8451364,Americas,Northern America,Developed economies,46723,1.71E+12,0.922,1.05671,98960,3,NA,1,NA,2,NA,NA,NA,NA,NA,NA
india,hyderabad,17.385044,78.486671,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,6376000,97,1,3,3,8,2,4,10,17,24,25
united states,lisle,41.801141,-88.0747875,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,22912,3,NA,1,1,NA,NA,1,NA,NA,NA,NA
united states,atlanta,33.7489954,-84.3879824,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,472522,94,2,8,10,11,10,7,10,9,16,11
india,sancoale,15.3775135,73.8809535,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,"NA",4,1,1,NA,1,NA,1,NA,NA,NA,NA
united states,princeton,40.3572976,-74.6672226,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,31822,21,NA,3,4,4,1,2,2,2,2,1
united states,beacon,41.5048158,-73.9695832,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,14289,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA
united states,lansing,42.732535,-84.5555347,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,116020,2,NA,1,NA,1,NA,NA,NA,NA,NA,NA
united states,aurora,39.7294319,-104.8319195,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,361710,6,NA,1,NA,1,NA,1,1,NA,NA,2
india,kolkata,22.572646,88.363895,Asia,Southern Asia,Developing economies,7169,9.60E+12,0.647,0.359807,4486679,24,NA,1,1,2,1,NA,1,4,3,11
united states,rochester,43.1565779,-77.6088465,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,114011,59,1,6,2,2,4,8,7,4,14,11
united states,ann arbor,42.2808256,-83.7430378,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,120782,26,NA,1,2,2,3,2,4,2,6,4
peru,puno,-15.8402218,-70.0218805,Americas,South America,Developing economies,13772,4.33E+11,0.759,-0.598962,147385,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
united states,miami beach,25.790654,-80.1300455,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,92307,2,NA,1,1,NA,NA,NA,NA,NA,NA,NA
united states,"washington, dc",38.9071923,-77.0368707,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,681170,18,NA,5,3,2,NA,3,NA,1,2,2
united states,albuquerque,35.0843859,-106.650422,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,559277,65,NA,4,4,7,12,7,8,6,11,6
united states,santa barbara,34.4208305,-119.6981901,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,204034,19,NA,2,1,2,1,1,2,4,2,4
united states,new york,40.7127753,-74.0059728,Americas,Northern America,Developed economies,59928,1.95E+13,0.92,1.75541,8622698,374,6,19,33,50,36,52,67,67,26,18
china,lijiang,26.855047,100.22775,Asia,Eastern Asia,Developing economies,16782,2.33E+13,0.758,0.691307,18445,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
japan,urasoe,26.2457804,127.7217156,Asia,Eastern Asia,Developed economies,41959,5.32E+12,0.915,2.30938,114232,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
